"avatar","fullname","id","images/0","images/1","images/2","images/3","images/4","images/5","images/6","isQuote","isRetweet","likes","links/0","links/1","links/2","links/3","links/4","links/5","links/6","links/7","links/8","links/9","links/10","links/11","links/12","links/13","links/14","links/15","links/16","links/17","links/18","links/19","links/20","links/21","links/22","quotedTweet/avatar","quotedTweet/fullname","quotedTweet/images/0","quotedTweet/images/1","quotedTweet/images/2","quotedTweet/images/3","quotedTweet/links/0","quotedTweet/links/1","quotedTweet/links/2","quotedTweet/links/3","quotedTweet/links/4","quotedTweet/links/5","quotedTweet/links/6","quotedTweet/links/7","quotedTweet/text","quotedTweet/timestamp","quotedTweet/url","quotedTweet/username","quotes","replies","retweets","searchQuery","text","timestamp","url","user/avatar","user/description","user/joinDate","user/location","user/totalFollowers","user/totalFollowing","user/totalLikes","user/totalTweets","user/url","user/userFullName","user/username","user/verified","user/website","username","verified"
,,"1472410081207541760","https://pbs.twimg.com/media/FG8NJwKWYAY1sYw.jpg",,,,,,,"false","false","3","https://twitter.com/search?q=%23Patna","https://twitter.com/search?q=%23gurudwara","https://twitter.com/search?q=%23patna_sahib",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","School","#Patna 
#gurudwara 
#patna_sahib 🙏🍁
A local school trip","2021-12-19T03:34:00.000Z","https://twitter.com/Prem7484/status/1472410081207541760","https://pbs.twimg.com/profile_images/1623972644273143809/3l0ELn75.jpg","I'm here for respect, not for attention.

Self-starter.

Sleepy boy with a busy life.","2021-11-06T13:18:00.000Z","Bihar, India","3","83","664","24","https://twitter.com//Prem7484","Prem Singhaniya","@Prem7484","false",,,"false"
,,"1471760986444951553",,,,,,,,"false","false","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","0","School","My best school life","2021-12-17T08:35:00.000Z","https://twitter.com/Goldye143/status/1471760986444951553","https://pbs.twimg.com/profile_images/1471690765118033923/gIR4l7QN.jpg","𝔊𝔬𝔩𝔡𝔶𝔢.143","2021-12-16T23:40:00.000Z",,"1","11","7","6","https://twitter.com//Goldye143","Goldye Rajput","@Goldye143","false",,,"false"
,,"1476776715057876992",,,,,,,,"false","false","0","https://www.instagram.com/p/CYImKKTLQAMx1UAighzrTpOcpLfiba3CUVElKs0/?utm_medium=twitter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","College","#lastphototogetherin2021#mewithmybestie😍😘👭.. @ Arcade Business College instagram.com/p/CYImKKTLQAMx…","2021-12-31T04:46:00.000Z","https://twitter.com/AnkitKr70282690/status/1476776715057876992","https://pbs.twimg.com/profile_images/1469977453812617216/GrcVsCzb.jpg","I am a student.","2020-08-03T17:34:00.000Z","Patna, India","6","74","30","56","https://twitter.com//AnkitKr70282690","Ankit Kr. Singh","@AnkitKr70282690","false",,,"false"
,,"1476768007288496131",,,,,,,,"false","false","0","https://twitter.com/search?q=%23brotherforlife","https://twitter.com/search?q=%23mybrother","https://www.instagram.com/p/CYIiMuIvRvqwmGZIzrcbaMvjfmS3xLMrDm6SGs0/?utm_medium=twitter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","College","#brothers#brotherhood💪 #brotherforlife #mybrother❤️ @ Arcade Business College instagram.com/p/CYIiMuIvRvqw…","2021-12-31T04:11:00.000Z","https://twitter.com/AnkitKr70282690/status/1476768007288496131","https://pbs.twimg.com/profile_images/1469977453812617216/GrcVsCzb.jpg","I am a student.","2020-08-03T17:34:00.000Z","Patna, India","6","74","30","56","https://twitter.com//AnkitKr70282690","Ankit Kr. Singh","@AnkitKr70282690","false",,,"false"
,,"1475998379306110982",,,,,,,,"false","false","0","https://www.instagram.com/p/CYDENl7B8K9/?utm_medium=twitter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","College","Just posted a photo @ A.N.D. College,Shahpur Patory Samastipur instagram.com/p/CYDENl7B8K9/…","2021-12-29T01:13:00.000Z","https://twitter.com/SANKIKOIRISONUK/status/1475998379306110982","https://pbs.twimg.com/profile_images/1445054294818889729/b8w4zKdV.jpg","AND COLLEGE SHAHPUR PATORY (12BHR BN NCC SAMASTIPUR) NCC CADETS","2021-10-04T15:52:00.000Z","Patori, India","0","0","1","12","https://twitter.com//SANKIKOIRISONUK","SANKI KOIRI SONU KUSHWAHA","@SANKIKOIRISONUK","false","piped.video/channel/UCN9iOW5…",,"false"
,,"1476767230037798916",,,,,,,,"false","false","0","https://www.instagram.com/p/CYIh2B2Pc4byXmo8F7FoNSOoDh7ISU2vS9TDSU0/?utm_medium=twitter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","College","#teenteegada#lastphotooftheyear(・∀・)(•‿•) @ Arcade Business College instagram.com/p/CYIh2B2Pc4by…","2021-12-31T04:08:00.000Z","https://twitter.com/AnkitKr70282690/status/1476767230037798916","https://pbs.twimg.com/profile_images/1469977453812617216/GrcVsCzb.jpg","I am a student.","2020-08-03T17:34:00.000Z","Patna, India","6","74","30","56","https://twitter.com//AnkitKr70282690","Ankit Kr. Singh","@AnkitKr70282690","false",,,"false"
,,"1476770617680609283",,,,,,,,"false","false","0","https://twitter.com/search?q=%23frindsforever","https://www.instagram.com/p/CYIjYumL0FsxJmssPdIVLCKSxJUY7k5V7n78CI0/?utm_medium=twitter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","College","#frindsforever❤😜😘😍 @ Arcade Business College instagram.com/p/CYIjYumL0Fsx…","2021-12-31T04:22:00.000Z","https://twitter.com/AnkitKr70282690/status/1476770617680609283","https://pbs.twimg.com/profile_images/1469977453812617216/GrcVsCzb.jpg","I am a student.","2020-08-03T17:34:00.000Z","Patna, India","6","74","30","56","https://twitter.com//AnkitKr70282690","Ankit Kr. Singh","@AnkitKr70282690","false",,,"false"
,,"1476207592426795009",,,,,,,,"false","false","75","https://twitter.com/jsaideepak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","4","College","@jsaideepak The impact your writing does is incredible. I was flying from Delhi to Patna and reading 'India that is Bharat' during the flight journey. One girl, must be a college student, was casually glancing at a few pages while I was reading (1/2)","2021-12-29T15:04:00.000Z","https://twitter.com/aarkey12/status/1476207592426795009","https://pbs.twimg.com/profile_images/1395028412348067844/lSLSJWvx.jpg","Sanatani by Dharma, Bharatiya by Culture, Management System Consultant by Profession","2010-10-16T10:26:00.000Z","Chennai","161","386","23869","2731","https://twitter.com//aarkey12","Kumar Rajamani","@aarkey12","false",,,"false"
,,"1475220411633725440",,,,,,,,"false","false","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","1","College","Yuva Shakti physical training center Patna college patna","2021-12-26T21:42:00.000Z","https://twitter.com/Shubham50301073/status/1475220411633725440","https://pbs.twimg.com/profile_images/1473540255181512712/vl_Z0CuZ.jpg",,"2021-12-17T22:39:00.000Z",,"1","7","8","18","https://twitter.com//Shubham50301073","Shubham Kumar","@Shubham50301073","false",,,"false"
,,"1474650633118445571",,,,,,,,"false","false","0","https://twitter.com/search?q=%23marrychristmas","https://twitter.com/search?q=%23merrychristmas2021","https://www.instagram.com/p/CX5fU9XMqjV/?utm_medium=twitter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","College","#marrychristmas🎄🎁🎅 #merrychristmas2021🎁🎅🎄❄️☃️🌲⛄️🌨❄️ @ National Business College Patna instagram.com/p/CX5fU9XMqjV/…","2021-12-25T07:58:00.000Z","https://twitter.com/Nationalbusin15/status/1474650633118445571","https://pbs.twimg.com/profile_images/1263768800073113604/lynG_64k.jpg","NBC is a college that provides BCA, BBA, BLISc,BJMC in minimum fee structure with a skilled faculty member. We use a tagline #A promise of knowledge and marks.","2020-05-22T09:47:00.000Z","R. K. Plaza Nala Road, Patna","30","7","57","159","https://twitter.com//Nationalbusin15","National Business College","@Nationalbusin15","false","nbcpatna.com/",,"false"
