"avatar","fullname","id","images/0","images/1","images/2","images/3","isQuote","isRetweet","likes","links/0","links/1","links/2","links/3","links/4","links/5","links/6","links/7","links/8","links/9","links/10","links/11","links/12","quotedTweet/avatar","quotedTweet/fullname","quotedTweet/images/0","quotedTweet/images/1","quotedTweet/images/2","quotedTweet/images/3","quotedTweet/links/0","quotedTweet/links/1","quotedTweet/links/2","quotedTweet/links/3","quotedTweet/links/4","quotedTweet/links/5","quotedTweet/text","quotedTweet/timestamp","quotedTweet/url","quotedTweet/username","quotes","replies","retweets","searchQuery","text","timestamp","url","user/avatar","user/description","user/joinDate","user/location","user/totalFollowers","user/totalFollowing","user/totalLikes","user/totalTweets","user/url","user/userFullName","user/username","user/verified","user/website","username","verified"
"https://pbs.twimg.com/profile_images/1678489220082716672/vYBb1Hwg.jpg","Debangshu Guha🚩🇮🇳 भारत,(असम,गुवाहाटी)","1466976699313131521","https://pbs.twimg.com/media/FFu_gRMUcAQCC2m.jpg","https://pbs.twimg.com/media/FFu_gz9UUAMnYPn.jpg","https://pbs.twimg.com/media/FFu_hOlVUAAzxOU.jpg","https://pbs.twimg.com/media/FFu_hvUVcAEy7q6.jpg","false","false","1","https://twitter.com/search?q=%23ABVPForStudents","https://twitter.com/ABVPAssam","https://twitter.com/AbvpGuwahati","https://twitter.com/search?q=%23BharatMataKiJai","https://twitter.com/search?q=%23Jai_aai_axom",,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","School","Some clicks during the membership program done  at Shankardev Vidya Niketan school Birubari 
#ABVPForStudents 
@ABVPAssam 
@AbvpGuwahati
#BharatMataKiJai ❤❤
#Jai_aai_axom 🙏🙏","2021-12-04T03:44:00.000Z","https://twitter.com/DEBANGSHU_GUHA_/status/1466976699313131521","https://pbs.twimg.com/profile_images/1678489220082716672/vYBb1Hwg.jpg","👉ABVP Karyakarta
👉 Executive BJYM 157boothno.
👉volunteer at NSS
👉Ex-NCC (L. cadet)
👉Mera Paehala kartavya janta ki Seva🙏
🙏BHARAT MATA KI JAI 🇮🇳🇮🇳🇮🇳","2019-05-04T05:34:00.000Z","Kamakhya, Guwahati","107","458","280","369","https://twitter.com//DEBANGSHU_GUHA_","Debangshu Guha🚩🇮🇳 भारत,(असम,गुवाहाटी)","@DEBANGSHU_GUHA_","false","piped.video/channel/UCGqpnNz…","@DEBANGSHU_GUHA_","false"
"https://pbs.twimg.com/profile_images/1426575909495001094/iQ7hJ1An.png","Citizen Guwahati","1465743699426480132",,,,,"false","false","0","https://twitter.com/mansukhmandviya","https://twitter.com/PMOIndia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2","0","School","@mansukhmandviya @PMOIndia 
With the growing danger of omicron on 10 lac tests were done in india .28 states 100 cr + population still so few tests ..
Schools are open in almost all the states ..the small kids are in danger if this variant is lethal ..No covid protocols","2021-11-30T18:05:00.000Z","https://twitter.com/CitizenGuwahati/status/1465743699426480132","https://pbs.twimg.com/profile_images/1426575909495001094/iQ7hJ1An.png","For the future of Guwahati","2021-08-14T16:06:00.000Z",,"104","168","3151","3209","https://twitter.com//CitizenGuwahati","Citizen Guwahati","@CitizenGuwahati","false",,"@CitizenGuwahati","false"
"https://pbs.twimg.com/profile_images/1717133816199032832/bhCu0Wss.jpg","P K Bhagawati","1463382100107677699",,,,,"false","false","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3","1","School","I remember fondly special time zone was maintained by our LP head sirs in those days ! In summer , school started at 7 AM and closed at 12 ! In winter , the timing was 9.30 AM and 2.30 PM ! we were happy then ! Indeed , office timings can be rescheduled during winter !","2021-11-24T05:40:00.000Z","https://twitter.com/BhagawatiKr/status/1463382100107677699","https://pbs.twimg.com/profile_images/1717133816199032832/bhCu0Wss.jpg","Love reading , admire art & photography , dislike superstitions , adore Spinoza ! and now jot occasionally random ideas ! ex bureaucrat !","2018-03-24T15:43:00.000Z","Guwahati, India","15251","3466","45670","35816","https://twitter.com//BhagawatiKr","P K Bhagawati","@BhagawatiKr","false",,"@BhagawatiKr","false"
"https://pbs.twimg.com/profile_images/1691622094172454913/DZynBM12.jpg","Tituraj","1463038970242076675",,,,,"true","false","10",,,,,,,,,,,,,,"","Dhiraj Dev (ধীৰাজ দেৱ )™",,,,,,,,,,,"This is a matter of great concern that out of 21 so far appointed faculty members ( professors, additional professors, associate professors & assistant professors) of AIIMS Guwahati only 6 (28.6%) can speak or deal in Assamese language.
1/n","2021-11-22T10:46:00.000Z","https://twitter.com/DhirajDev/status/1462734213761826818","@DhirajDev","1","3","0","School","Are we ready to compromise the talent on linguistic proficiency in lieu of clinical expertise? Why do we have such hullabaloo around language when we blissfully ignoring the decaying state of Assamese medium school? 

Language is just a tool to express, and is not just an end.","2021-11-23T06:57:00.000Z","https://twitter.com/tituraj/status/1463038970242076675","https://pbs.twimg.com/profile_images/1691622094172454913/DZynBM12.jpg","Communicator, Social Enabler, Curious mind, proud Indian & Asomiya.

bylines @quint @assamtribune @thetribune @tehelka @indiatimes  @sentinel_assam @rashtriya","2009-02-25T09:01:00.000Z","Guwahati, India","1267","302","53230","23905","https://twitter.com//tituraj","Tituraj","@tituraj","false",,"@tituraj","false"
"https://pbs.twimg.com/profile_images/1720793396732944384/ERuOBg95.jpg","Aatreyee Dhar(Let Sleeping trees lie)","1462846628197376001",,,,,"false","false","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","School","This theoretical stuff felt boring and redundant if you ask me. Which journo school? If it's ACJ, Sashi is all set to bore you.","2021-11-22T18:13:00.000Z","https://twitter.com/carbon_stink/status/1462846628197376001","https://pbs.twimg.com/profile_images/1720793396732944384/ERuOBg95.jpg","Environment Reporter. 
Awards:Laadli_PF, Red Ink Awards 2022.  Bylines:Guardian, Thirdpole, Telegraph UK, British Medical Journal+","2020-09-11T07:39:00.000Z","Guwahati, India","5698","5841","57207","37734","https://twitter.com//carbon_stink","Aatreyee Dhar(Let Sleeping trees lie)","@carbon_stink","false","linktr.ee/aatreyeedhar","@carbon_stink","false"
"https://pbs.twimg.com/profile_images/1717133816199032832/bhCu0Wss.jpg","P K Bhagawati","1462362645340639232",,,,,"false","false","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","0","School","OK ! But , I think not all schools are similarly situated ! Also take into count the fact that in some ME MV or LP the enrollment has either dwindled or has become nil.","2021-11-21T10:09:00.000Z","https://twitter.com/BhagawatiKr/status/1462362645340639232","https://pbs.twimg.com/profile_images/1717133816199032832/bhCu0Wss.jpg","Love reading , admire art & photography , dislike superstitions , adore Spinoza ! and now jot occasionally random ideas ! ex bureaucrat !","2018-03-24T15:43:00.000Z","Guwahati, India","15251","3466","45670","35816","https://twitter.com//BhagawatiKr","P K Bhagawati","@BhagawatiKr","false",,"@BhagawatiKr","false"
"https://pbs.twimg.com/profile_images/1717133816199032832/bhCu0Wss.jpg","P K Bhagawati","1462311772619116547",,,,,"false","false","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","0","School","3 led to the present sorry state ! No discipline , no punctuality in govt schools now ! So is the rush for English private schools !","2021-11-21T06:47:00.000Z","https://twitter.com/BhagawatiKr/status/1462311772619116547","https://pbs.twimg.com/profile_images/1717133816199032832/bhCu0Wss.jpg","Love reading , admire art & photography , dislike superstitions , adore Spinoza ! and now jot occasionally random ideas ! ex bureaucrat !","2018-03-24T15:43:00.000Z","Guwahati, India","15251","3466","45670","35816","https://twitter.com//BhagawatiKr","P K Bhagawati","@BhagawatiKr","false",,"@BhagawatiKr","false"
"https://pbs.twimg.com/profile_images/1728342655946612736/jvQ1r6ST.jpg","aashirwad","1460468868875317252",,,,,"false","false","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","School","Even though cuisines are very much a part of ethnic identity, but by no means they can be used so casually to refer to a section of people. More so if they are factually incorrect and has an underlying derogatory sense. These things have been normalised from school spaces","2021-11-16T04:44:00.000Z","https://twitter.com/daoriya_botor/status/1460468868875317252","https://pbs.twimg.com/profile_images/1728342655946612736/jvQ1r6ST.jpg","In love with red: the colour, the club, the idea 🔴","2011-07-20T13:36:00.000Z","অসম","349","1064","50683","8886","https://twitter.com//daoriya_botor","aashirwad","@daoriya_botor","false",,"@daoriya_botor","false"
,,"1465673392472743936","https://pbs.twimg.com/media/FFceKlAUcAEHpHs.jpg","https://pbs.twimg.com/media/FFceLUgVIAAOz-e.jpg",,,"false","false","3","https://twitter.com/larsentoubro","https://twitter.com/search?q=%23Himanta_Biswa_Sharma",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","College","construction of Rs 861.88 cr Medical College centering MMCH & Kalapahar campus along with 800-bed General Hospital at MMCH has been issued to @larsentoubro.
Thank you For #Himanta_Biswa_Sharma","2021-11-30T13:25:00.000Z","https://twitter.com/BikashK05761235/status/1465673392472743936","https://pbs.twimg.com/profile_images/1707962305156407296/SEQ2694j.jpg","In life be a warrior, not a worrier.","2021-03-20T15:57:00.000Z","Nalbari, India","1436","2857","31975","1528","https://twitter.com//BikashK05761235","Bikash Kumar Barman","@BikashK05761235","false",,,"false"
,,"1465718345924112387","https://pbs.twimg.com/media/FFdHB1lVgAEMe5b.jpg","https://pbs.twimg.com/media/FFdHCqHVQAEpKbM.jpg","https://pbs.twimg.com/media/FFdHDf3UUAMJB4h.jpg","https://pbs.twimg.com/media/FFdHEBZVEAckKhC.jpg","false","false","26","https://twitter.com/himantabiswa","https://twitter.com/BJP4Assam","https://twitter.com/blsanthosh",,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","5","College","HCM @himantabiswa handed over appointment letters to 723 Asst Prof. of colleges, Grade III employees in colleges, compassionate appointees, teachers in provincialised HS schools at a programme held org. by Secondary and Higher Education dept. today.
@BJP4Assam 
@blsanthosh","2021-11-30T16:24:00.000Z","https://twitter.com/KishoreBJP/status/1465718345924112387","https://pbs.twimg.com/profile_images/1630780309590638594/c1rlja-J.jpg","*Spokesman, BJPAssam.                           

*Chairman, ASIDC. 

*Advocate, Gauhati High court.","2010-08-23T09:40:00.000Z","Guwahati, Assam, Bharat.","2754","210","15065","8594","https://twitter.com//KishoreBJP","Kishore Upadhyay","@KishoreBJP","true","fb.com/KishoreBJP",,"true"
