"avatar","fullname","id","images/0","images/1","images/2","images/3","isQuote","isRetweet","likes","links/0","links/1","links/2","links/3","links/4","links/5","links/6","links/7","links/8","links/9","links/10","links/11","links/12","links/13","links/14","links/15","links/16","links/17","quotedTweet/avatar","quotedTweet/fullname","quotedTweet/images/0","quotedTweet/images/1","quotedTweet/images/2","quotedTweet/images/3","quotedTweet/links/0","quotedTweet/links/1","quotedTweet/links/2","quotedTweet/links/3","quotedTweet/links/4","quotedTweet/links/5","quotedTweet/links/6","quotedTweet/links/7","quotedTweet/links/8","quotedTweet/links/9","quotedTweet/links/10","quotedTweet/links/11","quotedTweet/links/12","quotedTweet/links/13","quotedTweet/text","quotedTweet/timestamp","quotedTweet/url","quotedTweet/username","quotes","replies","retweets","searchQuery","text","timestamp","url","user/avatar","user/description","user/joinDate","user/location","user/totalFollowers","user/totalFollowing","user/totalLikes","user/totalTweets","user/url","user/userFullName","user/username","user/verified","user/website","username","verified"
,,"1318456841106419712",,,,,"false","false","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","college","ye hamre college christian collage of engineering and technology se pdhi hui h","2020-10-20T07:39:00.000Z","https://twitter.com/sharma__saksham/status/1318456841106419712","https://pbs.twimg.com/profile_images/1379643680718344192/VtplX85L.jpg","Sports Government and Politics","2017-05-30T01:24:00.000Z","Bhilai, India","57","526","12216","495","https://twitter.com//sharma__saksham","Saksham Sharma","@sharma__saksham","false",,,"false"
,,"1409475010578718721",,,,,"false","false","0","https://twitter.com/PMOIndia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","exams","@PMOIndia sir please conduct ca exams as schedule","2021-06-28T11:33:00.000Z","https://twitter.com/cheeku031/status/1409475010578718721","https://pbs.twimg.com/profile_images/1644977100422803457/0tgp9OTj.jpg",,"2020-03-08T13:08:00.000Z","India","1","93","30","45","https://twitter.com//cheeku031","sahil","@cheeku031","false",,,"false"
,,"1320924393241886722",,,,,"false","false","1","https://twitter.com/search?q=%23जमीन_माफिया_चर्च","https://hindi.news18.com/amp/news/jharkhand/ranchi-missionaries-are-taking-over-government-and-tribal-landscid-hydrr-2198101.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","3","college","In the name of social activities like  running schools, colleges and hospitals, Christian Missionaries have acquired lands of tribals in Jharkhand & have constructed Churchs on them. Such cases require thorough investigation.
#जमीन_माफिया_चर्च
hindi.news18.com/amp/news/jh…","2020-10-27T03:04:00.000Z","https://twitter.com/SiddhiChhattani/status/1320924393241886722","https://pbs.twimg.com/profile_images/1393526753511964677/90jJLb38.jpg","Hari om 🙏🙏","2020-02-23T11:48:00.000Z",,"428","159","4615","5243","https://twitter.com//SiddhiChhattani","siddhi chhattani","@SiddhiChhattani","false",,,"false"
,,"1453016264150900740",,,,,"false","false","1","https://twitter.com/search?q=%23yoga","https://twitter.com/search?q=%23school","https://twitter.com/search?q=%23SantShriAsharamjiBapu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","School","#yoga must be taught in each and every #school all over the world #SantShriAsharamjiBapu","2021-10-26T15:10:00.000Z","https://twitter.com/theuggra/status/1453016264150900740","https://pbs.twimg.com/profile_images/1621776844356976640/fJ8J-WB8.jpg","क्षमा शोभती उस भुजंग को
जिसके पास गरल हो
उसको क्या जो दंतहीन
विषरहित, विनीत, सरल हो","2021-09-19T10:39:00.000Z","कर्णावती नगर, भारत","203","890","25796","38271","https://twitter.com//theuggra","uggra","@theuggra","false",,,"false"
,,"1410247569276510213",,,,,"false","false","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","exams","Probably her ""Copy krvane vale bande"" (exam mai) was called Effort pyaar se😅","2021-06-30T14:43:00.000Z","https://twitter.com/iUtkarshNeil/status/1410247569276510213","https://pbs.twimg.com/profile_images/1729406893171658752/1lnhsTl-.jpg","Corporate Majboor|| If you are reading  this consider following","2019-11-19T19:50:00.000Z","New Delhi, India","2637","626","46413","25899","https://twitter.com//iUtkarshNeil","TheSkywalker🇮🇳","@iUtkarshNeil","true","instagram.com/iutkarshneil?i…",,"true"
,,"1323331702316441600",,,,,"false","false","0","http://chng.it/xsKzw6cx","https://twitter.com/ChangeOrg_India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","University","@BlockedReva
Vice Chancellor: Organize ONLINE Sem End Exam in REVA University - Sign the Petition! chng.it/xsKzw6cx via @ChangeOrg_India","2020-11-02T18:30:00.000Z","https://twitter.com/enabled_user/status/1323331702316441600","https://pbs.twimg.com/profile_images/1514337970811453440/be7QpP2A.jpg",,"2014-06-13T08:08:00.000Z","India","130","171","5315","4062","https://twitter.com//enabled_user","P_S","@enabled_user","false",,,"false"
,,"1403272511677104132",,,,,"false","false","3","https://twitter.com/advocate_tanvi","https://twitter.com/NidhiTanejaa","https://twitter.com/timesofindia","https://twitter.com/ttindia","https://twitter.com/ndtv","https://twitter.com/CNNnews18","https://twitter.com/TimesNow","https://twitter.com/FAIMA_INDIA_","https://twitter.com/Dr_ManishJangra","https://twitter.com/DrNirajSingh4u","https://twitter.com/iPrajwalRevanna",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","2","exams","@pallavipratap2 @advocate_tanvi   @NidhiTanejaa @timesofindia @ttindia @ndtv @CNNnews18 @TimesNow @FAIMA_INDIA_ @Dr_ManishJangra @DrNirajSingh4u   @iPrajwalRevanna thank you for your support and help for postponement of INICET exam","2021-06-11T08:46:00.000Z","https://twitter.com/nscvvknnd253/status/1403272511677104132","https://pbs.twimg.com/profile_images/1400486014284566533/Ib0_vBnc.jpg",,"2020-05-17T07:21:00.000Z","Raipur, India","3","2","605","1113","https://twitter.com//nscvvknnd253","Neeraj Singh Chandel","@nscvvknnd253","false",,,"false"
,,"1314467078225620994",,,,,"false","false","0","https://twitter.com/CSVTUBhilai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","University","@CSVTUBhilai pathetic University, you guys don't even have printer and photocopy machines for students. 
Such a waste.","2020-10-09T07:25:00.000Z","https://twitter.com/m4ntis007/status/1314467078225620994","https://pbs.twimg.com/profile_images/1720507503811694593/2Rz7XfLl.jpg",,"2010-05-29T04:50:00.000Z","Dubai, United Arab Emirates","104","445","3924","2399","https://twitter.com//m4ntis007","Rajiv Singh","@m4ntis007","false",,,"false"
,,"1299717596015624194",,,,,"false","false","18","https://twitter.com/search?q=%23nikkond500","https://twitter.com/search?q=%23nikonindiaofficial","https://twitter.com/search?q=%23birdsofinstagram","https://twitter.com/search?q=%23birdsofindia","https://twitter.com/search?q=%23birdingindia","https://www.instagram.com/p/CEeg_oGg6r9/?igshid=uh4ukuoy5x74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","1","University","Be OWLSome !! 🦉

Location :- Agriculture College University Raipur 
 
NikonD500 with Nikkor 200-500mm 
#nikkond500 
#nikonindiaofficial 
nikonindiaofficial 
#birdsofinstagram 
#birdsofindia 
#birdingindia… instagram.com/p/CEeg_oGg6r9/…","2020-08-29T14:36:00.000Z","https://twitter.com/NileshKumar_IAS/status/1299717596015624194","https://pbs.twimg.com/profile_images/1554467321594654720/XOFx7tyQ.jpg","|#IAS 2011 Batch |Chhattisgarh |","2013-04-07T16:20:00.000Z","Mahasamund, India","24152","2534","6952","6144","https://twitter.com//NileshKumar_IAS","Nileshkumar Mahadev Kshirsagar 🇮🇳","@NileshKumar_IAS","false",,,"false"
,,"1311678232635346945","https://pbs.twimg.com/media/EjQEZlQVoAAhDcN.jpg",,,,"false","false","0","https://twitter.com/EduMinOfIndia","https://twitter.com/ugc_india","https://twitter.com/search?q=%23ShameOnUPGovt","https://twitter.com/search?q=%23selfdefence","https://twitter.com/search?q=%23HathrasCase","https://twitter.com/search?q=%23HathrasHorror",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","University","@EduMinOfIndia @ugc_india
Our Country Needs Self Defence Subject compulsory at School,college and University
#ShameOnUPGovt #selfdefence #HathrasCase #HathrasHorror","2020-10-01T14:43:00.000Z","https://twitter.com/pmahek19/status/1311678232635346945","https://pbs.twimg.com/profile_images/1418846706834329608/cXKJMAR5.jpg","A Learner ☺️
A Aspirants 😇
A Cyclist 🚲","2016-04-22T08:35:00.000Z","India","173","979","11235","2848","https://twitter.com//pmahek19","MAHEK PATEL","@pmahek19","false",,,"false"
