"avatar","fullname","id","images/0","images/1","images/2","images/3","isQuote","isRetweet","likes","links/0","links/1","links/2","links/3","links/4","links/5","links/6","links/7","links/8","links/9","links/10","links/11","links/12","links/13","links/14","links/15","links/16","links/17","links/18","links/19","links/20","links/21","quotedTweet/avatar","quotedTweet/fullname","quotedTweet/images/0","quotedTweet/images/1","quotedTweet/images/2","quotedTweet/links/0","quotedTweet/links/1","quotedTweet/links/2","quotedTweet/links/3","quotedTweet/links/4","quotedTweet/links/5","quotedTweet/links/6","quotedTweet/links/7","quotedTweet/links/8","quotedTweet/links/9","quotedTweet/text","quotedTweet/timestamp","quotedTweet/url","quotedTweet/username","quotes","replies","retweets","searchQuery","text","timestamp","url","user/avatar","user/description","user/joinDate","user/location","user/totalFollowers","user/totalFollowing","user/totalLikes","user/totalTweets","user/url","user/userFullName","user/username","user/verified","user/website","username","verified"
,,"1366312557619806218",,,,,"false","false","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","phd","शराब बंद करना किसी भी राज्य के लिए सही फैसला नहीं होता,
चाहे वो गुजरात हो या बिहार ।
मिलते दोनों ही राज्यों में हैं, लेकिन बहुत ही ऊंचे दाम में ।
जिसका फायदा राज्य सरकार को ना जाकर दलालों को जाता है","2021-03-01T09:01:00.000Z","https://twitter.com/The_ChandanKmr/status/1366312557619806218","https://pbs.twimg.com/profile_images/1676900463072120832/62qETKWn.jpg","धर्मों रक्षति रक्षितः । 🚩","2013-08-25T06:57:00.000Z","भारत","60","24","63318","4123","https://twitter.com//The_ChandanKmr","CHANDAN K","@The_ChandanKmr","false",,,"false"
,,"1368946124585799684",,,,,"false","false","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","phd","बहुत ही दुःखद ।
काश इनके परिवार की आह खाली ना जाए","2021-03-08T15:26:00.000Z","https://twitter.com/The_ChandanKmr/status/1368946124585799684","https://pbs.twimg.com/profile_images/1676900463072120832/62qETKWn.jpg","धर्मों रक्षति रक्षितः । 🚩","2013-08-25T06:57:00.000Z","भारत","60","24","63318","4123","https://twitter.com//The_ChandanKmr","CHANDAN K","@The_ChandanKmr","false",,,"false"
,,"1369879980029534217","https://pbs.twimg.com/media/EwLKlJ5VEAA_-cT.jpg",,,,"false","false","1","https://twitter.com/pushpampc13","https://twitter.com/mukesh_phd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","phd","Wishing You A Very Happy Maha Shivratri..
May The God Grant All Your Wishes And Bless You With Everlasting Happiness..
@plurals1313
@pushpampc13
@mukesh_phd","2021-03-11T05:16:00.000Z","https://twitter.com/The_ChandanKmr/status/1369879980029534217","https://pbs.twimg.com/profile_images/1676900463072120832/62qETKWn.jpg","धर्मों रक्षति रक्षितः । 🚩","2013-08-25T06:57:00.000Z","भारत","60","24","63318","4123","https://twitter.com//The_ChandanKmr","CHANDAN K","@The_ChandanKmr","false",,,"false"
,,"1475455172230868994",,,,,"false","false","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","School","Sir 2 year pure hone pr High School 25% result nikal dete to sone pe suhaga ho jata.29 Dec. Ko result nikalne ki baat aapne kahi thi","2021-12-27T13:15:00.000Z","https://twitter.com/abhishek7luck/status/1475455172230868994","https://pbs.twimg.com/profile_images/797335329602760704/jvUiVupZ.jpg",,"2015-06-02T01:53:00.000Z","Godda, India","8","34","76","143","https://twitter.com//abhishek7luck","Abhishek kumar","@abhishek7luck","false",,,"false"
,,"1367668550161240065",,,,,"false","false","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","phd","कुर्सी है, कोई जनाजा थोड़े ना है ।
कुछ कर नही पाते, तो उतर क्यूं नही जाते ।","2021-03-05T02:49:00.000Z","https://twitter.com/The_ChandanKmr/status/1367668550161240065","https://pbs.twimg.com/profile_images/1676900463072120832/62qETKWn.jpg","धर्मों रक्षति रक्षितः । 🚩","2013-08-25T06:57:00.000Z","भारत","60","24","63318","4123","https://twitter.com//The_ChandanKmr","CHANDAN K","@The_ChandanKmr","false",,,"false"
,,"1474860114142109697",,,,,"false","false","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","School","29 December tak High school 25% result prakashit Karen","2021-12-25T21:50:00.000Z","https://twitter.com/abhishek7luck/status/1474860114142109697","https://pbs.twimg.com/profile_images/797335329602760704/jvUiVupZ.jpg",,"2015-06-02T01:53:00.000Z","Godda, India","8","34","76","143","https://twitter.com//abhishek7luck","Abhishek kumar","@abhishek7luck","false",,,"false"
,,"1475108776038449152",,,,,"true","false","3","https://twitter.com/search?q=%23school",,,,,,,,,,,,,,,,,,,,,,"","Ramesh Gholap IAS | रमेश घोलप भा.प्र.से.",,,,"https://twitter.com/search?q=%23TeachersOfBihar",,,,,,,,,,"हिमालय की गोद में बस एक सरकारी स्कूल की प्रार्थना सभा की वीडियो...👌

साभार: #TeachersOfBihar","2021-12-25T03:47:00.000Z","https://twitter.com/RmeshSpeaks/status/1474587609380708353","@RmeshSpeaks","0","0","0","School","It is important for all stakeholders to bring such small stories to large masses this will rebuild trust on government schools

#school","2021-12-26T14:18:00.000Z","https://twitter.com/chandansingh31/status/1475108776038449152","https://pbs.twimg.com/profile_images/767651845107961856/FMlcXZPE.jpg","Co-Founder @pratigya_trust | Teacher Education | School Leadership | Education Policy| Resource Person at @NUSSD_TISS_ | SEEL Trainer | @azimpremjiuniv |","2010-12-18T06:46:00.000Z","Ranchi, Jharkhand, India","307","489","960","1380","https://twitter.com//chandansingh31","Chandan Singh","@chandansingh31","false","nepathy.wordpress.com/2019",,"false"
,,"1473034588742062080",,,,,"false","false","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","School","Another thing which I want to add that people in the village are burdened with school fees due to which the kids were left with no other options apart from staying at home and doing household works. 
It needs URGENT ACTION.","2021-12-20T20:56:00.000Z","https://twitter.com/PriyaKu23759897/status/1473034588742062080","https://pbs.twimg.com/profile_images/1496399350007619584/JUwMTqld.jpg","Ranchi University || JNU || Economics student ll 
In the midst of Garden and Library🌸","2020-05-02T09:25:00.000Z",,"28","113","944","91","https://twitter.com//PriyaKu23759897","Priya Gupta","@PriyaKu23759897","false",,,"false"
,,"1472158412012146692",,,,,"false","false","0","https://twitter.com/search?q=%232BHK","https://twitter.com/search?q=%23Flat","https://twitter.com/search?q=%23KankeRoad","https://twitter.com/search?q=%23Ranchi","https://twitter.com/search?q=%23Apartment","https://twitter.com/search?q=%23ForRent","https://twitter.com/search?q=%23Residential","https://twitter.com/search?q=%23Property","http://prpt.in/P11895523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","Bachelors","#2BHK #Flat at #KankeRoad near #Ranchi College for Bachelors-Direct Owner conversation #Apartment #ForRent #Residential #Property
prpt.in/P11895523","2021-12-18T10:54:00.000Z","https://twitter.com/propertiesindia/status/1472158412012146692","https://pbs.twimg.com/profile_images/556355330/propertywala_icon_64_bigger_1_.png","India's Premium Real Estate Network","2009-11-07T11:03:00.000Z","India","6142","23","0","2396175","https://twitter.com//propertiesindia","PropertyWala.com","@propertiesindia","false","propertywala.com",,"false"
,,"1473523934049964032","https://pbs.twimg.com/media/FHMCM5-VgAIqWNJ.jpg",,,,"false","false","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","0","School","‘Mathematics gives us hope that every problem has a solution.’

On 22nd December every year, National Mathematics Day is celebrated to mark the birth anniversary of the Indian mathematician Srinivasa Ramanujan. Numerous educational events are held at schools and universities","2021-12-22T05:20:00.000Z","https://twitter.com/mes_bitsindri/status/1473523934049964032","https://pbs.twimg.com/profile_images/1318587719774134272/h29gXAFY.jpg","Mechanical Engineering Society shall work towards the development of the department and shall keep the flag of the department fluttering high.","2020-10-19T18:00:00.000Z","Dhanbad","69","0","2","589","https://twitter.com//mes_bitsindri","Mechanical Engineering Society, BIT Sindri","@mes_bitsindri","false",,,"false"
