avatar,fullname,id,images/0,images/1,images/2,images/3,isQuote,isRetweet,likes,links/0,links/1,links/2,links/3,links/4,links/5,links/6,links/7,links/8,links/9,links/10,links/11,links/12,links/13,links/14,links/15,links/16,quotedTweet/avatar,quotedTweet/fullname,quotedTweet/images/0,quotedTweet/links/0,quotedTweet/links/1,quotedTweet/links/2,quotedTweet/links/3,quotedTweet/text,quotedTweet/timestamp,quotedTweet/url,quotedTweet/username,quotes,replies,retweets,searchQuery,text,timestamp,url,user/avatar,user/description,user/joinDate,user/location,user/totalFollowers,user/totalFollowing,user/totalLikes,user/totalTweets,user/url,user/userFullName,user/username,user/verified,user/website,username,verified
,,1323296065915817984,https://pbs.twimg.com/media/El1KumEXIAECYUP.jpg,,,,False,False,1,https://twitter.com/himantabiswa,https://twitter.com/search?q=%23PrivateSchool,https://twitter.com/search?q=%23Guwahati,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,School,private school fee controlled assay govt upper cap rs27000 per annum ith standard per news shankar academy charging rs43600 ask responsible official check act please privateschool guwahati,2020-11-02T16:09:00.000Z,https://twitter.com/shivamsarmah/status/1323296065915817984,https://pbs.twimg.com/profile_images/1711797295308754944/vkBkikdg.jpg,Traveller; Sense of urgency is in my DNA; Tweets are brutally straight; ॐ असतो मा सद्गमय; जय हिंद 🇮🇳,2010-05-01T08:13:00.000Z,भारत,167,1031,4910,1474,https://twitter.com//shivamsarmah,Shivam Sarmah,@shivamsarmah,False,,,False
,,1463884249782620163,,,,,False,False,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,College,need college activities,2021-11-25T14:56:00.000Z,https://twitter.com/NissoMekap/status/1463884249782620163,https://pbs.twimg.com/profile_images/1721562583688257536/9Ur-e1lU.jpg,delusional or optimistic,2020-03-17T05:31:00.000Z,Naharlagun🀄️,1054,537,2314,1789,https://twitter.com//NissoMekap,humanist,@NissoMekap,False,instagram.com/nissomekap/,,False
,,1472644928823910401,,,,,False,False,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,College,want dye hair crazy color cant college policy,2021-12-19T19:08:00.000Z,https://twitter.com/NissoMekap/status/1472644928823910401,https://pbs.twimg.com/profile_images/1721562583688257536/9Ur-e1lU.jpg,delusional or optimistic,2020-03-17T05:31:00.000Z,Naharlagun🀄️,1054,537,2314,1789,https://twitter.com//NissoMekap,humanist,@NissoMekap,False,instagram.com/nissomekap/,,False
,,1310602860132929536,https://pbs.twimg.com/media/EjAyWc8VgAEfyJR.jpg,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,School,school reopens,2020-09-28T15:30:00.000Z,https://twitter.com/tadarbabin/status/1310602860132929536,https://pbs.twimg.com/profile_images/1639209857260703744/3GL6cSRt.jpg,"I incline to thoughts, feelings & ideas which ease my mind & heart.",2012-11-19T11:21:00.000Z,Naharlagun,1402,789,6802,5429,https://twitter.com//tadarbabin,Babin🍂,@tadarbabin,False,,,False
,,1308717070377345025,,,,,False,False,0,https://twitter.com/search?q=%23kiskis,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,School,kiss college school ghul gay,2020-09-23T10:37:00.000Z,https://twitter.com/RanjitS94787450/status/1308717070377345025,https://pbs.twimg.com/profile_images/1308706324935446528/qyKp86B6.jpg,,2020-09-23T09:53:00.000Z,,0,8,2,5,https://twitter.com//RanjitS94787450,Ranjit Singh Rajput,@RanjitS94787450,False,,,False
,,1415940177277571079,https://pbs.twimg.com/media/E6ZuFOAVEAAw1-N.jpg,,,,False,False,27,http://easternsentinel.in/news/state/rgu,https://twitter.com/dpradhanbjp,https://twitter.com/EduMinOfIndia,https://twitter.com/ugc_india,https://twitter.com/AIUIndia,https://twitter.com/ArunachalCMO,https://twitter.com/Saket_Kushwaha4,,,,,,,,,,,,,,,,,,,,,,0,1,3,University,new initiative rajiv gandhi university teachers association route welcomes new faculty members family,2021-07-16T07:43:00.000Z,https://twitter.com/RGU1984/status/1415940177277571079,https://pbs.twimg.com/profile_images/1554317249607249921/crbSdGAa.jpg,"Higher Educational Institution under Ministry of Education, Government of India |Vice Chancellor @Saket_Kushwaha4|",2015-06-18T08:15:00.000Z,"Rono Hills, Itanagar",2985,88,664,1127,https://twitter.com//RGU1984,Rajiv Gandhi University,@RGU1984,False,rgu.ac.in,,False
,,1438568495986327554,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,College,know bullshit people like defaming one respected college college deepak naval living home organisations charity zeroknowledge dangerous dont idea dont circulate fake news,2021-09-16T18:20:00.000Z,https://twitter.com/Kake_Marging/status/1438568495986327554,https://pbs.twimg.com/profile_images/952192875600621569/A5kh4_zt.jpg,unemployment youth,2016-08-09T12:32:00.000Z,"Arunachal Pradesh, India",73,293,640,60,https://twitter.com//Kake_Marging,Kake Marging,@Kake_Marging,False,youTube.com/kakemarging,,False
,,1300796364633247744,,,,,False,False,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,School,received mail daughter school assay restart online classes ord won open september relief,2020-09-01T14:03:00.000Z,https://twitter.com/tadarbabin/status/1300796364633247744,https://pbs.twimg.com/profile_images/1639209857260703744/3GL6cSRt.jpg,"I incline to thoughts, feelings & ideas which ease my mind & heart.",2012-11-19T11:21:00.000Z,Naharlagun,1402,789,6802,5429,https://twitter.com//tadarbabin,Babin🍂,@tadarbabin,False,,,False
,,1218449699008499713,,,,,False,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,School,today conduct parent teacher meeting take counselling program also reduce fear students give invitation attend program school campus 20jan2020,2020-01-18T08:27:00.000Z,https://twitter.com/kvno1itanagar/status/1218449699008499713,https://pbs.twimg.com/profile_images/1104999741744590848/QOBqJAee.png,,2019-03-11T06:56:00.000Z,,165,28,43,148,https://twitter.com//kvno1itanagar,kvno1itanagar,@kvno1itanagar,False,,,False
,,1250323960102715398,,,,,False,False,0,https://twitter.com/ugc_india,https://twitter.com/HRDMinistry,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,School,had minister said decision regarding reopening schools colleges would taken april happens resume teaching classroom activities post may loa would great help,2020-04-15T07:23:00.000Z,https://twitter.com/rajubarthakur/status/1250323960102715398,https://pbs.twimg.com/profile_images/1691921373940129792/r7IAjdlT.jpg,"|| Teaching, Travelling, Ruminating, and Learning || Focusing on #Life, #Living, and #Positivity || At times, contumacious || Not all RTs are endorsements ||",2009-07-08T06:12:00.000Z,"Itanagar, India",482,284,1425,3055,https://twitter.com//rajubarthakur,𝐑𝐚𝐣𝐮 𝐁𝐚𝐫𝐭𝐡𝐚𝐤𝐮𝐫 (ৰাজু বৰঠাকুৰ),@rajubarthakur,False,in.linkedin.com/in/rajubarth…,,False
