avatar,fullname,id,images/0,images/1,images/2,images/3,isQuote,isRetweet,likes,links/0,links/1,links/2,links/3,links/4,links/5,links/6,links/7,links/8,links/9,links/10,links/11,links/12,links/13,links/14,links/15,links/16,links/17,links/18,links/19,links/20,links/21,links/22,links/23,quotedTweet/avatar,quotedTweet/fullname,quotedTweet/images/0,quotedTweet/images/1,quotedTweet/images/2,quotedTweet/images/3,quotedTweet/links/0,quotedTweet/links/1,quotedTweet/links/2,quotedTweet/links/3,quotedTweet/links/4,quotedTweet/links/5,quotedTweet/links/6,quotedTweet/links/7,quotedTweet/text,quotedTweet/timestamp,quotedTweet/url,quotedTweet/username,quotes,replies,retweets,searchQuery,text,timestamp,url,user/avatar,user/description,user/joinDate,user/location,user/totalFollowers,user/totalFollowing,user/totalLikes,user/totalTweets,user/url,user/userFullName,user/username,user/verified,user/website,username,verified
,,1438753269090643970,https://pbs.twimg.com/media/E_d6d4hUYAAetpm.jpg,,,,False,False,4,https://twitter.com/search?q=%23HPUShimla,https://twitter.com/search?q=%23HPU,https://twitter.com/search?q=%23shimla,https://twitter.com/search?q=%23himachalpradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,Bachelors,counselling notice admissions bachelor library information science master library information science academic session 202122 hpushimla shilla himachalpradesh,2021-09-17T06:34:00.000Z,https://twitter.com/hpu_shimla/status/1438753269090643970,https://pbs.twimg.com/profile_images/1506931921900957700/_QoDfl6G.jpg,"Office of Honbl. Vice Chancellor, Himachal Pradesh University Shimla",2021-08-12T11:38:00.000Z,"Shimla Urban, India",963,28,115,424,https://twitter.com//hpu_shimla,HPU Vice Chancellor Secretariat,@hpu_shimla,False,hpuniv.ac.in/,,False
https://pbs.twimg.com/profile_images/1506931921900957700/_QoDfl6G.jpg,HPU Vice Chancellor Secretariat,1440341814158905351,https://pbs.twimg.com/media/E_0fPs3VUAweeCc.jpg,,,,False,False,16,https://twitter.com/search?q=%23HPUShimla,https://twitter.com/search?q=%23HPU,https://twitter.com/search?q=%23shimla,https://twitter.com/search?q=%23himachalpradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,exams,notification regarding change bed exam centres hpushimla shilla himachalpradesh,2021-09-21T15:47:00.000Z,https://twitter.com/hpu_shimla/status/1440341814158905351,https://pbs.twimg.com/profile_images/1506931921900957700/_QoDfl6G.jpg,"Office of Honbl. Vice Chancellor, Himachal Pradesh University Shimla",2021-08-12T11:38:00.000Z,"Shimla Urban, India",963,28,115,424,https://twitter.com//hpu_shimla,HPU Vice Chancellor Secretariat,@hpu_shimla,False,hpuniv.ac.in/,@hpu_shimla,False
https://pbs.twimg.com/profile_images/1506931921900957700/_QoDfl6G.jpg,HPU Vice Chancellor Secretariat,1437313259535618049,https://pbs.twimg.com/media/E_Jcx_mVgAgzgdH.jpg,,,,False,False,20,https://twitter.com/search?q=%23HPUShimla,https://twitter.com/search?q=%23HPU,https://twitter.com/search?q=%23shimla,https://twitter.com/search?q=%23himachalpradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,college,regarding academic session 202122 college state hpushimla shilla himachalpradesh,2021-09-13T07:12:00.000Z,https://twitter.com/hpu_shimla/status/1437313259535618049,https://pbs.twimg.com/profile_images/1506931921900957700/_QoDfl6G.jpg,"Office of Honbl. Vice Chancellor, Himachal Pradesh University Shimla",2021-08-12T11:38:00.000Z,"Shimla Urban, India",963,28,115,424,https://twitter.com//hpu_shimla,HPU Vice Chancellor Secretariat,@hpu_shimla,False,hpuniv.ac.in/,@hpu_shimla,False
https://pbs.twimg.com/profile_images/1506931921900957700/_QoDfl6G.jpg,HPU Vice Chancellor Secretariat,1437310852906897410,https://pbs.twimg.com/media/E_JalBrVEAMKt-i.jpg,https://pbs.twimg.com/media/E_JalzHVIAEhdAc.jpg,,,False,False,5,https://twitter.com/search?q=%23HPUShimla,https://twitter.com/search?q=%23HPU,https://twitter.com/search?q=%23shimla,https://twitter.com/search?q=%23himachalpradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,college,regarding implementation reservation policy government india universities colleges grantinaid institutions hpushimla shilla himachalpradesh,2021-09-13T07:03:00.000Z,https://twitter.com/hpu_shimla/status/1437310852906897410,https://pbs.twimg.com/profile_images/1506931921900957700/_QoDfl6G.jpg,"Office of Honbl. Vice Chancellor, Himachal Pradesh University Shimla",2021-08-12T11:38:00.000Z,"Shimla Urban, India",963,28,115,424,https://twitter.com//hpu_shimla,HPU Vice Chancellor Secretariat,@hpu_shimla,False,hpuniv.ac.in/,@hpu_shimla,False
https://pbs.twimg.com/profile_images/1506931921900957700/_QoDfl6G.jpg,HPU Vice Chancellor Secretariat,1431213422264213509,https://pbs.twimg.com/media/E9yw_5pUcAYmCUs.jpg,https://pbs.twimg.com/media/E9yxA0lVcAstcPf.jpg,,,False,False,4,https://twitter.com/search?q=%23hpu,https://twitter.com/search?q=%23shimla,https://twitter.com/search?q=%23hpushimla,https://twitter.com/search?q=%23himachalpradaesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,exams,entrance exam result tech uit shilla hpushimla himachalpradaesh,2021-08-27T11:14:00.000Z,https://twitter.com/hpu_shimla/status/1431213422264213509,https://pbs.twimg.com/profile_images/1506931921900957700/_QoDfl6G.jpg,"Office of Honbl. Vice Chancellor, Himachal Pradesh University Shimla",2021-08-12T11:38:00.000Z,"Shimla Urban, India",963,28,115,424,https://twitter.com//hpu_shimla,HPU Vice Chancellor Secretariat,@hpu_shimla,False,hpuniv.ac.in/,@hpu_shimla,False
https://pbs.twimg.com/profile_images/1506931921900957700/_QoDfl6G.jpg,HPU Vice Chancellor Secretariat,1431213292832243712,https://pbs.twimg.com/media/E9yw2mYVcAQoqWQ.jpg,https://pbs.twimg.com/media/E9yw3WTVQAMJBCI.jpg,https://pbs.twimg.com/media/E9yw4WLVgAI3KVJ.jpg,https://pbs.twimg.com/media/E9yw5MAVIAAQP6s.jpg,False,False,14,https://twitter.com/search?q=%23hpu,https://twitter.com/search?q=%23shimla,https://twitter.com/search?q=%23hpushimla,https://twitter.com/search?q=%23himachalpradaesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,exams,entrance exam result tech uit shilla hpushimla himachalpradaesh,2021-08-27T11:13:00.000Z,https://twitter.com/hpu_shimla/status/1431213292832243712,https://pbs.twimg.com/profile_images/1506931921900957700/_QoDfl6G.jpg,"Office of Honbl. Vice Chancellor, Himachal Pradesh University Shimla",2021-08-12T11:38:00.000Z,"Shimla Urban, India",963,28,115,424,https://twitter.com//hpu_shimla,HPU Vice Chancellor Secretariat,@hpu_shimla,False,hpuniv.ac.in/,@hpu_shimla,False
https://pbs.twimg.com/profile_images/1506931921900957700/_QoDfl6G.jpg,HPU Vice Chancellor Secretariat,1434845340465721352,https://pbs.twimg.com/media/E-mYOl2VEAQiMlA.jpg,,,,False,False,11,https://twitter.com/search?q=%23HPU,https://twitter.com/search?q=%23shimla,https://twitter.com/search?q=%23HPUShimla,https://twitter.com/search?q=%23HimachalPradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,college,regarding admission graduate classes est year ord year college state shilla hpushimla himachalpradesh,2021-09-06T11:46:00.000Z,https://twitter.com/hpu_shimla/status/1434845340465721352,https://pbs.twimg.com/profile_images/1506931921900957700/_QoDfl6G.jpg,"Office of Honbl. Vice Chancellor, Himachal Pradesh University Shimla",2021-08-12T11:38:00.000Z,"Shimla Urban, India",963,28,115,424,https://twitter.com//hpu_shimla,HPU Vice Chancellor Secretariat,@hpu_shimla,False,hpuniv.ac.in/,@hpu_shimla,False
,,1476081223327879171,https://pbs.twimg.com/media/FHwYDKWVQAMtiQm.jpg,,,,False,False,8,https://twitter.com/search?q=%23JalJeevanMissiion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,School,save watergate earth painting school child awareness program regarding importance water jam among students himachal jaljeevanmissiion jal shakti vibing himachal grades,2021-12-29T06:42:00.000Z,https://twitter.com/JalVibhag/status/1476081223327879171,https://pbs.twimg.com/profile_images/1658357887368941571/pDTku_MR.jpg,,2021-07-14T11:31:00.000Z,Shimla Himachal Pradesh,270,27,5357,2762,https://twitter.com//JalVibhag,Jal Shakti Vibhag HP,@JalVibhag,False,hpiph.org,,False
,,1472535447943405575,,,,,False,False,0,https://twitter.com/search?q=%234BHK,https://twitter.com/search?q=%23ForSale,https://twitter.com/search?q=%23Shimla,https://twitter.com/search?q=%23Apartment,https://twitter.com/search?q=%23Flat,https://twitter.com/search?q=%23Bhattakuffar,https://twitter.com/search?q=%23Residential,https://twitter.com/search?q=%23Property,http://prpt.in/P85227492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,School,bok duplex forsake chhakrhail near ivy school bhatakufar shilla apartment flat bhattakuffar residential property prptinp85227492,2021-12-19T11:53:00.000Z,https://twitter.com/propertiesindia/status/1472535447943405575,https://pbs.twimg.com/profile_images/556355330/propertywala_icon_64_bigger_1_.png,India's Premium Real Estate Network,2009-11-07T11:03:00.000Z,India,6142,23,0,2396175,https://twitter.com//propertiesindia,PropertyWala.com,@propertiesindia,False,propertywala.com,,False
,,1474267621436497920,,,,,False,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,Masters,taking seriously abusing habit cursing quality insulting excellence dna must picked masters last 1000 years time unlearn awaken decide unlearn learn,2021-12-24T06:36:00.000Z,https://twitter.com/kamekish/status/1474267621436497920,https://pbs.twimg.com/profile_images/1700760137177477120/m278bIcV.jpg,"I help people Unlearn, a new idea to keep pace with change.
Unlearn means forget, discard & remove. Unlearn is the need of hour. Follow me to know Unlearn.",2009-08-05T10:11:00.000Z,Delhi NCR India,1945,77,6387,20969,https://twitter.com//kamekish,Wing Commander KK Verma,@kamekish,False,facebook.com/NAFIndia.Org,,False
