avatar,fullname,id,images/0,images/1,images/2,images/3,isQuote,isRetweet,likes,links/0,links/1,links/2,links/3,links/4,links/5,links/6,links/7,links/8,links/9,links/10,links/11,links/12,links/13,links/14,links/15,links/16,links/17,links/18,links/19,links/20,links/21,links/22,links/23,quotedTweet/avatar,quotedTweet/fullname,quotedTweet/images/0,quotedTweet/images/1,quotedTweet/images/2,quotedTweet/images/3,quotedTweet/links/0,quotedTweet/links/1,quotedTweet/links/2,quotedTweet/links/3,quotedTweet/links/4,quotedTweet/links/5,quotedTweet/links/6,quotedTweet/links/7,quotedTweet/links/8,quotedTweet/links/9,quotedTweet/text,quotedTweet/timestamp,quotedTweet/url,quotedTweet/username,quotes,replies,retweets,searchQuery,text,timestamp,url,user/avatar,user/description,user/joinDate,user/location,user/totalFollowers,user/totalFollowing,user/totalLikes,user/totalTweets,user/url,user/userFullName,user/username,user/verified,user/website,username,verified
,,1476168805374038020,,,,,True,False,0,https://twitter.com/barandbench,https://twitter.com/rashtrapatibhvn,https://twitter.com/search?q=%23Hindus,https://twitter.com/BJP4India,https://twitter.com/PMOIndia,https://twitter.com/HMOIndia,,,,,,,,,,,,,,,,,,,,Vishwatma 🇮🇳,,,,,,,,,,,,,,,"'These ""Only Vegetarians"" boards are seen everywhere, its against Muslims, its against the constitution and secularism. In spite of having a Muslim friendly government in TN nothing is been done regarding this""",2021-12-28T06:09:00.000Z,https://twitter.com/HLKodo/status/1475710395402764289,@HLKodo,0,0,0,Masters,milo's holiday limited hindus thy kaput self declared masters without taking constitutionally elected govt elite class beggars cant work,2021-12-29T12:30:00.000Z,https://twitter.com/Nayakspradeep/status/1476168805374038020,https://pbs.twimg.com/profile_images/1243215116276887552/65vG9DcF.jpg,"Proud #KANNADIGA(Don't need a certificate from any #ASSHOLES) VERY CLEAR about this...🖕
views are ALWAYS PURELY personal😇",2012-08-20T04:46:00.000Z,"Bengaluru, BHARAT",101,511,28860,16191,https://twitter.com//Nayakspradeep,Pradi unknownu😎 🇮🇳,@Nayakspradeep,False,,,True
,,1474460154724700161,,,,,False,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,Masters,prolly masters solo soon,2021-12-24T19:21:00.000Z,https://twitter.com/pushkarsidde/status/1474460154724700161,https://pbs.twimg.com/profile_images/1721847233145163776/TbshuFPq.jpg,,2016-05-01T08:06:00.000Z,,87,720,265291,7186,https://twitter.com//pushkarsidde,In my DHFM era,@pushkarsidde,False,,,False
,,1471101646243446790,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,Masters,whatever better pedis masters earlier,2021-12-15T12:55:00.000Z,https://twitter.com/harshu_now/status/1471101646243446790,https://pbs.twimg.com/profile_images/1326561735457738752/rvMjKGUJ.jpg,Love Martial arts and most adventure sports,2016-05-07T17:27:00.000Z,India,83,240,26252,7076,https://twitter.com//harshu_now,HarshuA🇮🇳 ಭಾರತ,@harshu_now,False,,,False
,,1474074384566407172,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,Undergrad,one helped understand dot leakage undergrad dip course,2021-12-23T17:48:00.000Z,https://twitter.com/KK_Ilkal/status/1474074384566407172,https://pbs.twimg.com/profile_images/1005653820066729984/Cn7wiX0L.jpg,Cricket Lover,2018-06-10T03:09:00.000Z,"Ilkal, India",253,242,3486,2073,https://twitter.com//KK_Ilkal,Kuldeep Kulkarni,@KK_Ilkal,False,research.adobe.com/person/ku…,,False
,,1471744116664930305,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,Masters,wonder pakistan rohan takateinghode salwar these stories even parents used tell bed time 1986 guys believe 2021 wonder sell donkeys masters,2021-12-17T07:28:00.000Z,https://twitter.com/Dr_Anant/status/1471744116664930305,https://pbs.twimg.com/profile_images/1554525263999803392/HwWkbpaf.jpg,"INDIAN🇮🇳🇮🇳🇮🇳🇮🇳PATRIOT,MSDian.
NOT A JNU Dr. !!!!!
Blocked by- @rwac48
Retweet ≠ Endorsement",2011-07-07T14:22:00.000Z,HINDUSTAN,359,3532,15242,19169,https://twitter.com//Dr_Anant,Dr.FLYBoY 🇮🇳,@Dr_Anant,False,,,False
,,1476824746863960064,,,,,False,False,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,College,even one temple built yet number schoolscollegesiits hospitals built infra hospitals pharma built health insurance place nutritious midday meals school kids place stop telling blatant lies halftruths yah public hair say santa hair,2021-12-31T07:57:00.000Z,https://twitter.com/macharajarao/status/1476824746863960064,https://pbs.twimg.com/profile_images/1363365146924486665/h1xpNIdH.jpg,,2011-03-26T17:03:00.000Z,,4138,4962,52387,162152,https://twitter.com//macharajarao,M. S. Srinivasa Rao,@macharajarao,False,,,False
,,1476876103754997761,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,College,hello flippant losers team hours still didn't get get invoice flippant losers uneducated responsible team proved dont efficiency work backup company join college,2021-12-31T11:21:00.000Z,https://twitter.com/amit1997maurya/status/1476876103754997761,https://pbs.twimg.com/profile_images/1476245712950030336/R8m4nbyY.jpg,☺️☺️,2015-11-19T13:38:00.000Z,"Bengaluru, India",10,45,47,113,https://twitter.com//amit1997maurya,AMIT KUMAR MAURYA,@amit1997maurya,False,,,False
,,1476860468094402561,https://pbs.twimg.com/media/FH7cxLAUYAE0B7W.jpg,,,,True,False,8,https://twitter.com/dcudupi,https://twitter.com/CMofKarnataka,,,,,,,,,,,,,,,,,,,,,,,,Imran Khan,,,,,https://twitter.com/search?q=%23Udupi,https://twitter.com/search?q=%23hijab,https://twitter.com/search?q=%23Principal,https://twitter.com/search?q=%23Burkha,,,,,,,#Udupi Govt PU girls college bars students from wearing #hijab inside class.6 students are protesting for the last 3 days demanding they be allowed to attend.#Principal Rudre Gowda says we even allow #Burkha inside campus but they will have to remove headscarf to attend class.,2021-12-31T09:54:00.000Z,https://twitter.com/KeypadGuerilla/status/1476854369354088453,@KeypadGuerilla,0,0,5,College,student organisation delegation submitted memorandum add deputy commissioner deputy director preuniversity issue allowing wear scarf college,2021-12-31T10:19:00.000Z,https://twitter.com/Public_Karntka/status/1476860468094402561,https://pbs.twimg.com/profile_images/1468542875566690307/vFBF2bQ5.jpg,News Media | Digital News platform | YouTube,2020-05-01T11:32:00.000Z,"Karnataka, India",433,44,211,283,https://twitter.com//Public_Karntka,Public Karnataka,@Public_Karntka,False,piped.video/c/Publickarnatak…,,False
,,1476528905523798020,,,,,False,False,1,https://www.instagram.com/p/CYG1d0IpYUg/?utm_medium=twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,College,posted photo ramaa medical college,2021-12-30T12:21:00.000Z,https://twitter.com/CollegeRamaiah/status/1476528905523798020,https://pbs.twimg.com/profile_images/1153624694869770240/gXnO-BHl.jpg,Official Twitter handle of Ramaiah Medical College,2019-07-08T06:06:00.000Z,"Bengaluru, India",514,47,82,631,https://twitter.com//CollegeRamaiah,Ramaiah Medical College,@CollegeRamaiah,False,msrmc.ac.in,,False
,,1476619789724356615,https://pbs.twimg.com/media/FH4B3B7VcAA8nJm.jpg,,,,False,False,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,College,location krupanidhi college junction madivala violation pillion rider wearing helmet,2021-12-30T18:22:00.000Z,https://twitter.com/i_am_Mudassar/status/1476619789724356615,https://pbs.twimg.com/profile_images/1041741892931641346/hwd3ZlMV.jpg,Am not fake....,2018-09-17T09:50:00.000Z,"Bengaluru, India",5,41,15,5,https://twitter.com//i_am_Mudassar,S. Mudassar Nazar,@i_am_Mudassar,False,,,False
