avatar,fullname,id,images/0,images/1,images/2,images/3,isQuote,isRetweet,likes,links/0,links/1,links/2,links/3,links/4,links/5,links/6,links/7,links/8,links/9,links/10,links/11,quotedTweet/avatar,quotedTweet/fullname,quotedTweet/images/0,quotedTweet/links/0,quotedTweet/links/1,quotedTweet/text,quotedTweet/timestamp,quotedTweet/url,quotedTweet/username,quotes,replies,retweets,searchQuery,text,timestamp,url,user/avatar,user/description,user/joinDate,user/location,user/totalFollowers,user/totalFollowing,user/totalLikes,user/totalTweets,user/url,user/userFullName,user/username,user/verified,user/website,username,verified
,,1113054180762152960,,,,,False,False,2,https://twitter.com/search?q=%23son,https://twitter.com/search?q=%23kg1,https://twitter.com/search?q=%23firstdayatschool,https://twitter.com/search?q=%23feelingawesome,https://twitter.com/search?q=%23feelinggood,https://twitter.com/search?q=%23peace,https://twitter.com/search?q=%23love,https://www.instagram.com/p/BvwMTD9hmoT/?utm_source=ig_twitter_share&igshid=5a725ua2zm6o,,,,,,,,,,,,,,0,0,0,School,papa school kal thei nei lala chu faking raw cobs est day school son firstdayatschool feelingawesome feelinggood peace,2019-04-02T12:22:00.000Z,https://twitter.com/jeremyngila/status/1113054180762152960,https://pbs.twimg.com/profile_images/1084630088/IMG_7748S.jpg,,2009-06-05T10:34:00.000Z,Aizawl,170,326,384,440,https://twitter.com//jeremyngila,Jeremy Ngila,@jeremyngila,False,piped.video/user/Jerengila,,False
,,951081463557926913,,,,,False,False,0,https://twitter.com/search?q=%23talentshow,,,,,,,,,,,,,,,,,,,,,0,0,0,School,performed blue house talentshow les school aching buzz nervous,2018-01-10T13:21:00.000Z,https://twitter.com/SaideySailo/status/951081463557926913,https://pbs.twimg.com/profile_images/946338267498029057/PqVS_7US.jpg,"Extraordinary puppet, music lover,i am 15
instagram:s_d_p____sailo",2017-12-28T10:56:00.000Z,"Aizawl, India",4,18,167,15,https://twitter.com//SaideySailo,s_d_p____ sailo,@SaideySailo,False,,,False
,,1093365497783975936,,,,,False,False,1,https://www.instagram.com/p/BtkS7CgB9r-/?utm_source=ig_twitter_share&igshid=7divdll7ho5s,,,,,,,,,,,,,,,,,,,,,0,0,0,School,back school long break thats electric vent,2019-02-07T04:27:00.000Z,https://twitter.com/rengpuia/status/1093365497783975936,https://pbs.twimg.com/profile_images/1342525439030353920/vHAwxVMd.jpg,"Don't even bother, I am only here because it's free.",2009-11-29T12:27:00.000Z,"aizawl,mz,india",626,302,464,2814,https://twitter.com//rengpuia,𝐿𝑎𝑙𝑟𝑒𝑛𝑔𝑝𝑢𝑖𝑎,@rengpuia,False,,,False
,,481457833905360896,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,Undergraduate,colleges informed implementing year undergraduate progugc,2014-06-24T15:24:00.000Z,https://twitter.com/jcpricy/status/481457833905360896,https://pbs.twimg.com/profile_images/1618657372096053248/LKSNWQnu.jpg,Supposably this is all a moo point! 🐮,2009-12-08T12:28:00.000Z,"New Delhi, India",2615,1346,59549,31499,https://twitter.com//jcpricy,Pricilla,@jcpricy,False,threads.net/@chawngmawii_,,False
,,458447288021430272,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,Masters,one serve two masters either hate one love matthew 624,2014-04-22T03:28:00.000Z,https://twitter.com/Mimikyo_Geisha/status/458447288021430272,https://pbs.twimg.com/profile_images/977208381483114496/4hCR1cCS.jpg,To leave no Jericho behind me unconquered. I am defender of the faith.,2009-07-25T15:15:00.000Z,"Aizawl/New Delhi, India.",532,449,427,5896,https://twitter.com//Mimikyo_Geisha,Mimikyo Lalrempuii,@Mimikyo_Geisha,False,mimikyo.wordpress.com/,,False
,,1361936214136295425,,,,,False,False,1,,,,,,,,,,,,,,,,,,,,,,0,0,0,University,receptionists mizoram university best,2021-02-17T07:11:00.000Z,https://twitter.com/elnino4699/status/1361936214136295425,https://pbs.twimg.com/profile_images/1421933887534497793/9weUmgUY.jpg,"#YNWA
Hardcore fan of Rossi, Kimi, Alonso, Linkin Park, TBBT....",2009-09-25T08:30:00.000Z,aizawl,130,322,1968,2521,https://twitter.com//elnino4699,chhana chhakchhuak,@elnino4699,False,,,False
,,359271776494166016,,,,,False,False,0,https://twitter.com/Hahat,,,,,,,,,,,,,,,,,,,,,0,1,0,phd,environmental pod dnaaiz,2013-07-22T11:20:00.000Z,https://twitter.com/angeljc009/status/359271776494166016,https://pbs.twimg.com/profile_images/959405608720986112/sN5OkNbJ.jpg,"Follow me on Instagram@ethereal_angeljc & snapchat@Angel_lani From Mizoram, India",2011-02-20T17:20:00.000Z,Aizawl,2858,235,2717,8961,https://twitter.com//angeljc009,Angel_Lani,@angeljc009,False,,,False
,,1276115054467993601,https://pbs.twimg.com/media/EbWr4ROXQAIUtdb.jpg,,,,False,False,14,https://twitter.com/search?q=%23mizoraminsta,https://twitter.com/search?q=%23mizoramuniversity,https://twitter.com/search?q=%23mzu,https://twitter.com/search?q=%23auditorium,https://twitter.com/search?q=%23mizoram,https://twitter.com/search?q=%23indianuniversities,https://twitter.com/search?q=%23northeastindia,https://www.instagram.com/p/CB2zd18FAoN/,https://tweet.photo,,,,,,,,,,,,,0,0,0,University,mizoram university auditorium mizoraminsta mizoramuniversity auditorium mizoram indianuniversities northeastindia instagramcompcb2zd18faon via tweetphoto,2020-06-25T11:28:00.000Z,https://twitter.com/mizoraminsta/status/1276115054467993601,https://pbs.twimg.com/profile_images/1246061843136700416/ddhdx1ds.jpg,"Official hashtag: #MizoramInsta
⏺mizoram⏺mizo ⏺north east India🇮🇳
⏺hill⏺mountain⏺scenery ⏺nature ⏺culture ⏺travel ⏺food ⏺️ life ⏺landscape ⏺people",2020-03-31T14:22:00.000Z,"Mizoram, India",16621,25,59,4229,https://twitter.com//mizoraminsta,mizoraminsta,@mizoraminsta,False,mizoraminsta.blogspot.com/,,False
,,1452244493105774598,,,,,False,False,0,https://www.instagram.com/p/CVaSMhvv2uB/?utm_medium=twitter,,,,,,,,,,,,,,,,,,,,,0,0,0,University,afternoon ride mizoram university mizoram university,2021-10-24T12:04:00.000Z,https://twitter.com/Lalnunsiamahmar/status/1452244493105774598,https://pbs.twimg.com/profile_images/1394662364100788231/Tq9zNDXy.jpg,,2010-11-15T03:39:00.000Z,"Aizawl,Mizoram",21,116,13,48,https://twitter.com//Lalnunsiamahmar,Lalnunsiama_mama,@Lalnunsiamahmar,False,,,False
https://pbs.twimg.com/profile_images/1618657372096053248/LKSNWQnu.jpg,Pricilla,685191344818536448,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,School,sure case done right thing starts home school second home,2016-01-07T20:08:00.000Z,https://twitter.com/jcpricy/status/685191344818536448,https://pbs.twimg.com/profile_images/1618657372096053248/LKSNWQnu.jpg,Supposably this is all a moo point! 🐮,2009-12-08T12:28:00.000Z,"New Delhi, India",2615,1346,59549,31499,https://twitter.com//jcpricy,Pricilla,@jcpricy,False,threads.net/@chawngmawii_,@jcpricy,False
